所属产品,所属模块,相关需求,用例标题,步骤,预期,优先级,用例类型,适用阶段,用例状态
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证点击""生产入库系统""
点击""角色管理""菜单栏
点击""添加角色""
系统可以成功点击所有按钮并跳转到""添加角色界面""","1.点击""生产入库系统""
2.点击""角色管理""菜单栏
3.进入""角色管理界面""
4.点击""添加角色""按钮",3.系统可以成功点击所有按钮并跳转到"添加角色界面",,功能测试,"
功能测试阶段",正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证添加角色信息正确用例
系统提示成功添加并返回""角色管理界面""","1.在""角色名称""框输入：""啊啊""
2.在""角色说明""框输入：""啊啊啊""
3.点击""确定""按钮
",3.系统提示成功添加并返回"角色管理界面",,功能测试,功能测试阶段,正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证""角色名称""输入特殊符号
系统提示成功添加并返回""角色管理界面""","1.在""角色名称""框输入：""@@""
2.正向用例覆盖
3.点击""确定""按钮
",3.系统提示成功添加并返回"角色管理界面",,功能测试,"
功能测试阶段",正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证""角色说明""输入特殊符号
系统提示成功添加并返回""角色管理界面""","1.在""角色说明""框输入：""@@""
2.正向用例覆盖
3.点击""确定""按钮
",3.系统提示成功添加并返回"角色管理界面",,功能测试,功能测试阶段,正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证不输入角色名称
系统提示请输入角色名称","1.在""角色名称""框不输入任何值
2.正向用例覆盖
3.点击""确定""按钮
",3.系统提示请输入角色名称,,功能测试,"
功能测试阶段",正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证不输入角色说明
系统提示请输入角色说明","1.在""角色说明""框不输入任何值
2.正向用例覆盖
3.点击""确定""按钮
",3.系统提示请输入角色说明,,功能测试,功能测试阶段,正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证""角色名称""为输入超过50位的角色名称
系统自动报错","1.在""角色名称""框输入""超级管理员...省略51位""
2.正向用例覆盖
3.点击确认修改",3.系统自动报错,,功能测试,"
功能测试阶段",正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证""角色名称""为输入49位的角色名称
系统自动报错","1.在""角色名称""框输入""超级管理员...省略49位""
2.正向用例覆盖
3.点击确认修改",3.系统提示添加成功并返回"角色管理界面",,功能测试,功能测试阶段,正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证""角色说明""为输入超过50位的角色说明
系统自动报错","1.在""角色说明""框输入""至高无上的权限...省略51位""
2.正向用例覆盖
3.点击确认修改",3.系统自动报错,,功能测试,"
功能测试阶段",正常
ERP-SXT(#45),/主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.3 角色管理/2.3.3.1添加用户(#608),添加用户(#328),"验证""角色说明""为输入49位的角色说明
系统自动报错","1.在""角色说明""框输入""至高无上的权限...省略49位""
2.正向用例覆盖
3.点击确认修改",3.系统提示添加成功并返回"角色管理界面",,功能测试,功能测试阶段,正常
