所属产品,所属模块,相关需求,用例标题,步骤,预期,优先级,用例类型,适用阶段,用例状态
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),验证注册会员正确,"1.在""用户名""文本框输入""aa""
2.在""密码""框输入""123456""
3.在""确认密码""框输入与""密码""框一致密码""123456""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证用户名为空

系统提示""用户名不能为空""","1.在""用户名""文本框不输入任何值:""""
2.在""密码""框输入""111111""
3.在""确认密码""框输入与""密码""框一致密码""111111""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"请输入用户名",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证密码为空

系统提示""密码不能为空""","1.在""用户名""文本框输入:""666""
2.在""密码""框不输入任何值:""""
3.在""确认密码""框输入""666""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"请输入密码",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证确认密码框为空

系统提示""确认密码框不能为空""","1.在""用户名""文本框输入:""666""
2.在""密码""框文本框输入:""555""
3.在""确认密码""框不输入任何值:""""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"请输入确认密码",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证用户名为数字

系统提示""注册成功""","1.在""用户名""文本框输入数字""777""
2.在""密码""框输入""888""
3.在""确认密码""框输入与""密码""框一致密码""888""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证密码为数字

系统提示""注册成功""","1.在""用户名""文本框输入:""753""
2.在""密码""框不输入任何值:""951""
3.在""确认密码""框输入""951""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证确认密码框为数字

系统提示""注册成功""","1.在""用户名""文本框输入:""666""
2.在""密码""框文本框输入:""555""
3.在""确认密码""框输入任何值:""555""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证用户名为字符

系统提示""注册成功""","1.在""用户名""文本框输入数字""@@!""
2.在""密码""框输入""888""
3.在""确认密码""框输入与""密码""框一致密码""888""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证密码为字符

系统提示""注册成功""","1.在""用户名""文本框输入:""666""
2.在""密码""框输入任何值:""@@#""
3.在""确认密码""框输入""@@#""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.1 系统管理员菜单栏(#17),系统管理员菜单栏(#25),"验证确认密码框为字符

系统提示""注册成功""","1.在""用户名""文本框输入:""666666""
2.在""密码""框文本框输入:""$$$""
3.在""确认密码""框不输入任何值:""$$$""
4.权限给予超级管理员
5.点击""提交""按钮
",5.系统提示"注册成功",,功能测试,"
功能测试阶段",正常
