所属产品,所属模块,相关需求,用例标题,步骤,预期,优先级,用例类型,适用阶段,用例状态
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),修改个人密码,1. 修改个人密码,1.  1111,,功能测试,"
功能测试阶段",正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),测试正确流程,"1.点击""启动项目""进入后台
2.登录管理员账号进入后台管理系统
3.点击""系统管理员""
4.点击""修改个人密码""进入修改密码界面
","1.程序可以点击可以成功跳转到后台登录界面
2.可以登录管理员账号并点击成功可以进入后台管理系统
3.可以点击""系统管理员操作""
4.可以点击""修改个人密码""并成功进入修改密码界面
",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),验证成功修改密码,"1.在""原密码框""输入正确的原密码:例如""123456""
2.在""新密码框""输入正确的新密码例如""1111111""
3.在""确认密码框""输入与新密码框相同的值例如""1111111""
4.点击确定按钮",4.系统提示"修改密码成功请重新登录",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"在原密码框不输入任何值
系统提示""请输入原密码""","1.在""原密码框""不输入任何值为""""
2.在""新密码框""输入正确的新密码例如""56789""
3.在""确认密码框""输入与新密码框相同的值例如""56789""
4.点击确定按钮",4.系统提示"请输入原密码",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"在""新密码框""不输入任何值
系统提示""请输入新密码""","1.在""原密码框""输入正确的原密码例如""56789""
2.在""新密码框""不输入任何值为空
3.在""确认密码框""输入正确的新密码例如""123456""
4.点击确定按钮",4.系统提示"请输入新密码",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"在""确认密码框""不输入任何值
系统提示""请输入确认密码""","1.在""原密码框""输入正确的原密码例如""753951""
2.在""新密码框""输入正确的新密码例如""951753""
3.在""确认密码框""不输入任何值为空
4.点击确定按钮",4.系统提示"请输入确认密码",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"在""原密码框""输入与正确原密码不相同的密码
系统提示""请输入正确的原密码""
","1.在""原密码框""输入与正确原密码不相同的密码例如:""1111""
2.在""新密码框""输入正确的新密码例如""951753""
3.在""确认密码框""输入与新密码框相同的值例如""951753""
4.点击确定按钮",4.系统提示"请输入正确的原密码",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"在""新密码框""和""确认密码框""随意输入值
系统提示""两次密码不一致请重新输入""","1.在""原密码框""输入与正确原密码相同的密码例如:""666""
2.在""新密码框""随意输入值例如:""555""
3.在""确认密码框""随意输入值例如:""888""
4.点击确定按钮",4.系统提示"两次密码不一致请重新输入",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"验证在原密码框中输入字符

","1.在""原密码框""输入""@#""
2.在""新密码框""输入正确的新密码例如""951753""
3.在""确认密码框""输入与新密码框相同的值例如""951753""
4.点击确定按钮",4.系统提示"修改成功请重新登录",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"验证在""新密码框""中输入字符

","1.在""原密码框""输入系统要求的正确的密码例如:""555""
2.在""新密码框""输入""$$$""
3.在""确认密码框""输入""$$$""
4.点击确定按钮",4.系统提示"修改成功请重新登录",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"验证在""确认密码框""中输入字符

","1.在""原密码框""输入系统要求的正确的密码例如:""666""
2.在""新密码框""输入正确的新密码例如""%%""
3.在""确认密码框""输入""%%""
4.点击确定按钮",4.系统提示"修改成功请重新登录",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"验证在""原密码框""中输入英文

","1.在""原密码框""输入系统要求的正确的密码例如:""aaa""
2.在""新密码框""输入正确的新密码例如""222""
3.在""确认密码框""输入与新密码框相同的值例如""222""
4.点击确定按钮",4.系统提示"修改成功请重新登录",,功能测试,功能测试阶段,正常
网上服装销售管理系统1(#2),/二、 主界面功能介绍/2.3 左侧菜单栏详细描述/2.3.2 修改个人密码(#18),修改个人密码(#27),"验证在""新密码框""中输入英文

","1.在""原密码框""输入系统要求的正确的密码例如:""999""
2.在""新密码框""输入""bb""
3.在""确认密码框""输入与新密码框相同的值例如""bb""
4.点击确定按钮",4.系统提示"修改成功请重新登录",,功能测试,功能测试阶段,正常
