所属产品,所属模块,相关需求,用例标题,步骤,预期,优先级,用例类型,适用阶段,用例状态
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证点击""同源文化考勤辅助平台""
点击""系统管理""菜单栏
点击""人员管理""
系统可以成功点击所有按钮并跳转到""人员管理""","1.1.点击""同源文化考勤辅助平台""
2.点击""系统管理""菜单栏
3.进入""人员管理""",3.系统可以成功点击所有按钮并跳转到"人员管理界面",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),验证查询条件中的"部门"下拉框,"1.在查询条件中的""部门""下拉框随意选择一个部门例如:""网络部""
2.点击""查询""按钮",2."已经查询到该部门人员的所有信息",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证在""用户名""文本框输入用户的姓氏进行查询
系统自动查询到姓氏为""XXX""的所有人员信息","1.在查询条件的“用户名”文本框输入姓氏:列入""朱""
2.点击""查询""按钮",2."系统自动查询到姓氏为"朱"的所有人员的全部信息",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证输入""用户名""的最后一位的汉字进行查询
系统自动查询到人员最后一位为""XXX""的所有人员信息","1在查询条件的“用户名”文本框输入最后一位汉字""达""
2.点击""查询""按钮",2."系统自动查询到最后一位为"达"的所有人员的全部信息",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证查询条件的正向用例
系统查到所有条件都满足的人员信息","1.在""部门""下拉框选择：""网络部""
2.在""用户名""框输入：""杜泉""
3.点击""查询""按钮",3.系统查询到部门为"网络部"和用户名"杜泉"的人员的所有信息,,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证点击""全选""按钮
点击""删除所有人员""
系统可以成功点击所有按钮并成功删除所选人员","1.点击""全选""按钮
2.点击""删除所选人员""",2.系统可以成功点击所有按钮并成功删除所选人员,,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证点击""新增人员""按钮进入""新增人员界面""进行添加人员
系统可以成功点击按钮并跳转到""新增人员界面""","1.点击""新增人员""按钮
",1.系统可以成功点击按钮并跳转到"新增人员界面",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),正确用例覆盖 系统提示添加人员成功,"1.在""登陆账号""框输入:""susu""
2.在""真实姓名""框输入:""苏苏""
3.在""登陆密码""框输入:""123456789""
4.在""确认密码""框输入:""123456789""
5.在""部门选择""框选择:""网络部""
6.在""电话""框输入:""15846152776""
7.在""qq""框输入:""1501880529""
8.在""电子邮箱""框输入:""1501880529@qq.com""
9.在""是否有效框""选择:""有效""
9.点击保存",9.系统提示添加人员成功,,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"添加人员的""登录账号""为空 
系统提示""请输入登陆账号""","1.在""登录账号""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"请输入登陆账号",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"添加人员的""真实姓名""为空 
系统提示""请输入真实姓名""","1.在""真实姓名""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"请输入真实姓名",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"添加人员的""登陆密码""为空 
系统提示""添加人员成功""","1.在""登陆密码""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"添加人员成功",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"添加人员的""部门选择""为空 
系统提示""请输入登陆密码""","1.在""部门选择""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"请选择部门",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"添加人员的""电话""为空 
系统提示""添加人员成功""","1.在""电话""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"添加人员成功",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证添加人员的的""登陆密码""为汉字 
系统提示""添加人员成功""","1.在""登陆密码""框不输入任何值:""啊啊""
2.正向用例覆盖
3.点击保存",3.系统提示"添加人员成功",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),验证添加线索的"电话"为10位 添加人员成功,"1.在""电话""框输入:""1234567891""
2.正向用例覆盖
3.点击保存",3.系统提示"添加人员成功",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),验证添加线索的"客户电话"为12位 添加人员成功,"1.在""电话""框输入:""123456789166""
2.正向用例覆盖
3.点击保存",3.系统提示"添加人员成功",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证""登录账号""为输入超过50位的登录账号
系统自动报错","1.在""登录账号""框输入""至高无上的权限...省略51位""
2.正向用例覆盖
3.点击确认修改",3.系统自动报错,,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证""登陆密码""为输入49位的登陆密码
系统自动报错","1.在""登陆密码""框输入""至高无上的权限...省略51位""
2.正向用例覆盖
3.点击确认修改",3.系统自动报错,,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证""返回""按钮
系统可以返回到人员管理界面",1.点击"返回"按钮,1.系统可以返回到人员管理界面,,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"点击人员管理界面的【删除】按钮，删除选中的人员，

人员可以正常删除",1.点击"删除"按钮,1.人员可以正常删除,,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证点击""人员管理""
点击""人员修改""
系统可以成功点击所有按钮并跳转到""人员修改界面""",1.点击"人员修改",1.系统可以成功点击按钮并跳转到"人员修改界面",,功能测试,"
功能测试阶段",正常
